study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	read_count	experiment_title	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp
PRJNA335821	SAMN05467961	SRS1597780	SRX1995273	SRR3994206	1224633	Illumina HiSeq 2500 sequencing; vt_sup_h55 Superior Haploid 55 Leaf	vt_sup_h55_06	vt_sup_h55_06_R1.fastq.gz	132925890;137217647	485831b2e79449172c0e786fa7489acd;dd98135f7c9a52aa96af7f3ffc972cb6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994206/SRR3994206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994206/SRR3994206_2.fastq.gz
PRJNA335821	SAMN05467961	SRS1597780	SRX1995274	SRR3994207	2782677	Illumina HiSeq 2500 sequencing; vt_sup_h55 Superior Haploid 55 Leaf	vt_sup_h55_07	vt_sup_h55_07_R2.fastq.gz	293076105;285171082	e9eead0481dede955ccd76936c7cea40;c260330187aaa8d04d737a10379b0ac2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994207/SRR3994207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994207/SRR3994207_2.fastq.gz
PRJNA335821	SAMN05467961	SRS1597780	SRX1995275	SRR3994208	2772650	Illumina HiSeq 2500 sequencing; vt_sup_h55 Superior Haploid 55 Leaf	vt_sup_h55_08	vt_sup_h55_08_R1.fastq.gz	283239023;291621070	71bed385a4214cbcb13ca451cc0bbd55;d2562f1d502527cc91a1ae8025f3a0e3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994208/SRR3994208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994208/SRR3994208_2.fastq.gz
PRJNA335821	SAMN05467953	SRS1597778	SRX1995276	SRR3994209	1367719	Illumina HiSeq 2500 sequencing; vt_sup_h48 Superior Haploid 48 Leaf	vt_sup_h48_06	vt_sup_h48_06_R1.fastq.gz	148514002;152483120	b3d6ee5b68446ef90eb6cfa1e1e9169d;0c1a5687a2994711fabfccd8eee2e670	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994209/SRR3994209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994209/SRR3994209_2.fastq.gz
PRJNA335821	SAMN05467961	SRS1597780	SRX1995277	SRR3994210	2783646	Illumina HiSeq 2500 sequencing; vt_sup_h55 Superior Haploid 55 Leaf	vt_sup_h55_09	vt_sup_h55_09_R1.fastq.gz	285890854;294398987	51ef872ba8bfd24541cf9937f05edcbb;4f674643f8c4811319fbc81cd716a8fe	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994210/SRR3994210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994210/SRR3994210_2.fastq.gz
PRJNA335821	SAMN05467961	SRS1597780	SRX1995278	SRR3994211	2762371	Illumina HiSeq 2500 sequencing; vt_sup_h55 Superior Haploid 55 Leaf	vt_sup_h55_10	vt_sup_h55_10_R1.fastq.gz	282260956;290992420	02b14492b54b8517835fbcb9f972ecec;92fc333720aef0351efa1f2fae270e85	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994211/SRR3994211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994211/SRR3994211_2.fastq.gz
PRJNA335821	SAMN05467961	SRS1597780	SRX1995279	SRR3994212	2741029	Illumina HiSeq 2500 sequencing; vt_sup_h55 Superior Haploid 55 Leaf	vt_sup_h55_11	vt_sup_h55_11_R2.fastq.gz	288595289;279948787	94e722985ddf637a45c1ad2c852c4658;4b1591cf8c163eba09b9ec98aa421fa6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994212/SRR3994212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994212/SRR3994212_2.fastq.gz
PRJNA335821	SAMN05467961	SRS1597780	SRX1995280	SRR3994213	2755726	Illumina HiSeq 2500 sequencing; vt_sup_h55 Superior Haploid 55 Leaf	vt_sup_h55_12	vt_sup_h55_12_R2.fastq.gz	289463567;279674609	fb6858d85abe5793b2ea869890ad91d4;1ac0c0cc9ace9736f10b9bd37176a973	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994213/SRR3994213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994213/SRR3994213_2.fastq.gz
PRJNA335821	SAMN05467962	SRS1597781	SRX1995281	SRR3994214	937590	Illumina HiSeq 2500 sequencing; vt_sup_h56 Superior Haploid 56 Leaf	vt_sup_h56_01	vt_sup_h56_01_R2.fastq.gz	100902172;107681567	0854ad187c13586eee32560b1df4cabc;4c5ae66b6051ab90f89d910263be8714	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994214/SRR3994214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994214/SRR3994214_2.fastq.gz
PRJNA335821	SAMN05467962	SRS1597781	SRX1995282	SRR3994215	1230893	Illumina HiSeq 2500 sequencing; vt_sup_h56 Superior Haploid 56 Leaf	vt_sup_h56_02	vt_sup_h56_02_R1.fastq.gz	133152879;138162179	e193e54c40c481bda5ac96603607564d;b2e993b95a5722bc82f86a498b7b0404	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994215/SRR3994215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994215/SRR3994215_2.fastq.gz
PRJNA335821	SAMN05467962	SRS1597781	SRX1995283	SRR3994216	1213472	Illumina HiSeq 2500 sequencing; vt_sup_h56 Superior Haploid 56 Leaf	vt_sup_h56_03	vt_sup_h56_03_R2.fastq.gz	135506054;132391526	a57f8c9473840fa9991ea16090d3fc3c;7f8565b80706f9e093b1387e27a8d6ec	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994216/SRR3994216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994216/SRR3994216_2.fastq.gz
PRJNA335821	SAMN05467962	SRS1597781	SRX1995284	SRR3994217	1220665	Illumina HiSeq 2500 sequencing; vt_sup_h56 Superior Haploid 56 Leaf	vt_sup_h56_04	vt_sup_h56_04_R1.fastq.gz	132955161;136508552	f9d89b66362d6d5b0c4a8642421c0fba;6284f48af7df28e615497d7c4e45d84a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994217/SRR3994217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994217/SRR3994217_2.fastq.gz
PRJNA335821	SAMN05467962	SRS1597781	SRX1995285	SRR3994218	1232464	Illumina HiSeq 2500 sequencing; vt_sup_h56 Superior Haploid 56 Leaf	vt_sup_h56_05	vt_sup_h56_05_R1.fastq.gz	134362228;138085211	d42faf728da760674c26dfa38ec15b15;26adc7c16858eae856585ef342e1c720	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994218/SRR3994218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994218/SRR3994218_2.fastq.gz
PRJNA335821	SAMN05467962	SRS1597781	SRX1995286	SRR3994219	1211081	Illumina HiSeq 2500 sequencing; vt_sup_h56 Superior Haploid 56 Leaf	vt_sup_h56_06	vt_sup_h56_06_R1.fastq.gz	131809143;135590815	ba36f33c653ee4ff016d1c7dbec737c4;4b496eb8eff87f369f6334231ac9bd47	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994219/SRR3994219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994219/SRR3994219_2.fastq.gz
PRJNA335821	SAMN05467953	SRS1597778	SRX1995287	SRR3994220	2998071	Illumina HiSeq 2500 sequencing; vt_sup_h48 Superior Haploid 48 Leaf	vt_sup_h48_07	vt_sup_h48_07_R1.fastq.gz	310821696;312275204	b514775995797ca65790b7189fa8da1f;2fbac6cdb291734277128fa7ef997aa6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994220/SRR3994220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994220/SRR3994220_2.fastq.gz
PRJNA335821	SAMN05467962	SRS1597781	SRX1995288	SRR3994221	2755375	Illumina HiSeq 2500 sequencing; vt_sup_h56 Superior Haploid 56 Leaf	vt_sup_h56_07	vt_sup_h56_07_R2.fastq.gz	289997529;286921481	fbab0bf4a574c4b2b8dc0952eab8aef2;ea9bc540efd6e360d6eb31a88398c4ed	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994221/SRR3994221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994221/SRR3994221_2.fastq.gz
PRJNA335821	SAMN05467962	SRS1597781	SRX1995289	SRR3994222	2747560	Illumina HiSeq 2500 sequencing; vt_sup_h56 Superior Haploid 56 Leaf	vt_sup_h56_08	vt_sup_h56_08_R1.fastq.gz	284811349;288693136	840ff6e2411f32c8cb652e122dd6cb23;8a8cc5ebbc17a1162ce8bb403939355a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994222/SRR3994222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994222/SRR3994222_2.fastq.gz
PRJNA335821	SAMN05467962	SRS1597781	SRX1995290	SRR3994223	2760091	Illumina HiSeq 2500 sequencing; vt_sup_h56 Superior Haploid 56 Leaf	vt_sup_h56_09	vt_sup_h56_09_R2.fastq.gz	291536522;287613340	681dbe3a300bc4658a2da0d55927c1a6;c07f57d878cfc2aef8231f72c4b1e1aa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994223/SRR3994223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994223/SRR3994223_2.fastq.gz
PRJNA335821	SAMN05467962	SRS1597781	SRX1995291	SRR3994224	2740694	Illumina HiSeq 2500 sequencing; vt_sup_h56 Superior Haploid 56 Leaf	vt_sup_h56_10	vt_sup_h56_10_R2.fastq.gz	288394625;284112325	0a9b052f8e3ca13ade4d0ca3da016903;206ca6f3c43b387b9c7f877a4675ed53	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994224/SRR3994224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994224/SRR3994224_2.fastq.gz
PRJNA335821	SAMN05467962	SRS1597781	SRX1995292	SRR3994225	2716619	Illumina HiSeq 2500 sequencing; vt_sup_h56 Superior Haploid 56 Leaf	vt_sup_h56_11	vt_sup_h56_11_R1.fastq.gz	281593449;285714077	190daf0e717a7e202695b4e5be0be2d9;37333a278b19d3ac17a177ffcd98a0ff	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994225/SRR3994225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994225/SRR3994225_2.fastq.gz
PRJNA335821	SAMN05467962	SRS1597781	SRX1995293	SRR3994226	2732723	Illumina HiSeq 2500 sequencing; vt_sup_h56 Superior Haploid 56 Leaf	vt_sup_h56_12	vt_sup_h56_12_R1.fastq.gz	281508694;286855841	002ff44f3f57fcaa18a3964a9df70065;e51a016d7cfce1b93edc4198752ead65	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994226/SRR3994226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994226/SRR3994226_2.fastq.gz
PRJNA335821	SAMN05467963	SRS1597782	SRX1995294	SRR3994227	1176387	Illumina HiSeq 2500 sequencing; vt_sup_h57 Superior Haploid 57 Leaf	vt_sup_h57_01	vt_sup_h57_01_R1.fastq.gz	134206992;125930101	319f3c45cb1d4ebfc21c7ae2c7572b7b;a51509f1ad8d99cbd912bc255b642b17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994227/SRR3994227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994227/SRR3994227_2.fastq.gz
PRJNA335821	SAMN05467963	SRS1597782	SRX1995295	SRR3994228	1543522	Illumina HiSeq 2500 sequencing; vt_sup_h57 Superior Haploid 57 Leaf	vt_sup_h57_02	vt_sup_h57_02_R2.fastq.gz	172509041;165734182	70f4dc1eb7282f332f2e376925f251f0;3ffa7b6cda8c0cd1cdb137f591e99dd2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994228/SRR3994228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994228/SRR3994228_2.fastq.gz
PRJNA335821	SAMN05467963	SRS1597782	SRX1995296	SRR3994229	1567345	Illumina HiSeq 2500 sequencing; vt_sup_h57 Superior Haploid 57 Leaf	vt_sup_h57_03	vt_sup_h57_03_R2.fastq.gz	174147825;169779747	6e08fe0157dea4b85d01ada32f554214;f7aae1a46138346e578a7bb67bffd811	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994229/SRR3994229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994229/SRR3994229_2.fastq.gz
PRJNA335821	SAMN05467963	SRS1597782	SRX1995297	SRR3994230	1578262	Illumina HiSeq 2500 sequencing; vt_sup_h57 Superior Haploid 57 Leaf	vt_sup_h57_04	vt_sup_h57_04_R1.fastq.gz	170521463;175450468	51aad1ea10da418ca155698786010d2e;fdb9f0a7d6986721ac1d4e37b447d287	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994230/SRR3994230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994230/SRR3994230_2.fastq.gz
PRJNA335821	SAMN05467953	SRS1597778	SRX1995298	SRR3994231	2994528	Illumina HiSeq 2500 sequencing; vt_sup_h48 Superior Haploid 48 Leaf	vt_sup_h48_08	vt_sup_h48_08_R1.fastq.gz	308896464;311383988	4b04598945d730ba0a328b92d0864368;efc0fa484c1ff11f6a90a1fb440898bd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994231/SRR3994231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994231/SRR3994231_2.fastq.gz
PRJNA335821	SAMN05467963	SRS1597782	SRX1995299	SRR3994232	1601799	Illumina HiSeq 2500 sequencing; vt_sup_h57 Superior Haploid 57 Leaf	vt_sup_h57_05	vt_sup_h57_05_R1.fastq.gz	173199250;178339009	83fbaebbd64dc431dea5790e5a3ae098;7ca5f8200c043b0b7cc82673d84dc19a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994232/SRR3994232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994232/SRR3994232_2.fastq.gz
PRJNA335821	SAMN05467963	SRS1597782	SRX1995300	SRR3994233	1575340	Illumina HiSeq 2500 sequencing; vt_sup_h57 Superior Haploid 57 Leaf	vt_sup_h57_06	vt_sup_h57_06_R2.fastq.gz	175399094;170128472	27b9f865f5a939e2d435099631165902;e41c7e5a6dbd9fdbbecd971e0e308bd7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994233/SRR3994233_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994233/SRR3994233_2.fastq.gz
PRJNA335821	SAMN05467963	SRS1597782	SRX1995301	SRR3994234	3530606	Illumina HiSeq 2500 sequencing; vt_sup_h57 Superior Haploid 57 Leaf	vt_sup_h57_07	vt_sup_h57_07_R2.fastq.gz	369979083;356740640	a56b26fbfe8a30fe70cabf4205e82d1d;69830085ece425e5eb0716bab2e71273	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994234/SRR3994234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994234/SRR3994234_2.fastq.gz
PRJNA335821	SAMN05467963	SRS1597782	SRX1995302	SRR3994235	3520130	Illumina HiSeq 2500 sequencing; vt_sup_h57 Superior Haploid 57 Leaf	vt_sup_h57_08	vt_sup_h57_08_R2.fastq.gz	368080558;354555789	d12a435a45d68300a2ad8185134b09a3;017f9c2d795deb821d95b13248b56f28	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994235/SRR3994235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994235/SRR3994235_2.fastq.gz
PRJNA335821	SAMN05467963	SRS1597782	SRX1995303	SRR3994236	3526991	Illumina HiSeq 2500 sequencing; vt_sup_h57 Superior Haploid 57 Leaf	vt_sup_h57_09	vt_sup_h57_09_R2.fastq.gz	370881715;357121923	19131e9536c0fdbd5b301063f05cbafd;d596c2e11d07f4f6d846ac7e71a48d30	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994236/SRR3994236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994236/SRR3994236_2.fastq.gz
PRJNA335821	SAMN05467963	SRS1597782	SRX1995304	SRR3994237	3501989	Illumina HiSeq 2500 sequencing; vt_sup_h57 Superior Haploid 57 Leaf	vt_sup_h57_10	vt_sup_h57_10_R1.fastq.gz	352927388;366857069	3c682ae1d4a9c9cfb9501d86801b50e0;cdfb9c5e7b9dcc9c2ce4f2678d90b171	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994237/SRR3994237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994237/SRR3994237_2.fastq.gz
PRJNA335821	SAMN05467963	SRS1597782	SRX1995305	SRR3994238	3481786	Illumina HiSeq 2500 sequencing; vt_sup_h57 Superior Haploid 57 Leaf	vt_sup_h57_11	vt_sup_h57_11_R1.fastq.gz	350782143;364507148	84a661ce129ff9a1cd5340de2f81cac9;8c8b6413c4242c95d63152c3371aaf49	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994238/SRR3994238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994238/SRR3994238_2.fastq.gz
PRJNA335821	SAMN05467963	SRS1597782	SRX1995306	SRR3994239	3493769	Illumina HiSeq 2500 sequencing; vt_sup_h57 Superior Haploid 57 Leaf	vt_sup_h57_12	vt_sup_h57_12_R2.fastq.gz	365061811;350062255	71d87297d27c225ee5e3ae8d0e32a193;9926f3ee764b46f08ccf53b9659479e8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994239/SRR3994239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994239/SRR3994239_2.fastq.gz
PRJNA335821	SAMN05467964	SRS1597783	SRX1995307	SRR3994240	1175213	Illumina HiSeq 2500 sequencing; vt_sup_h58 Superior Haploid 58 Leaf	vt_sup_h58_01	vt_sup_h58_01_R1.fastq.gz	134942046;126387580	73cce0d2b7524e9b1b64f07750f7b6f9;62a8e89b9eb6e68cb77b63481c4a641d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994240/SRR3994240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994240/SRR3994240_2.fastq.gz
PRJNA335821	SAMN05467964	SRS1597783	SRX1995308	SRR3994241	1537903	Illumina HiSeq 2500 sequencing; vt_sup_h58 Superior Haploid 58 Leaf	vt_sup_h58_02	vt_sup_h58_02_R1.fastq.gz	166104264;172540093	4c95b04fdcb72086fc165e7ff2814b91;d950ff56db55a61d6a7631f5c3f3a6ef	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994241/SRR3994241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994241/SRR3994241_2.fastq.gz
PRJNA335821	SAMN05467953	SRS1597778	SRX1995309	SRR3994242	3005964	Illumina HiSeq 2500 sequencing; vt_sup_h48 Superior Haploid 48 Leaf	vt_sup_h48_09	vt_sup_h48_09_R1.fastq.gz	311969931;314417094	7b591921b21dceaf9ebddb02f0736da0;e0eb172347570179e9fc9dc5a6734810	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994242/SRR3994242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994242/SRR3994242_2.fastq.gz
PRJNA335821	SAMN05467964	SRS1597783	SRX1995310	SRR3994243	1557343	Illumina HiSeq 2500 sequencing; vt_sup_h58 Superior Haploid 58 Leaf	vt_sup_h58_03	vt_sup_h58_03_R2.fastq.gz	173539324;169732480	b9f49b61592abc7667dddee2efbd750a;534f162ea7f6da29918a51d2f216cb82	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994243/SRR3994243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994243/SRR3994243_2.fastq.gz
PRJNA335821	SAMN05467964	SRS1597783	SRX1995311	SRR3994244	1570721	Illumina HiSeq 2500 sequencing; vt_sup_h58 Superior Haploid 58 Leaf	vt_sup_h58_04	vt_sup_h58_04_R1.fastq.gz	170737147;175240846	0ce6077dac4b6d8b1d81e11100234526;4aa1b25540bee9f5a2d3c0af4f717b49	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994244/SRR3994244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994244/SRR3994244_2.fastq.gz
